file_name,shape,texture
car3-dog2.png,car3,dog2
car6-truck3.png,car6,truck3
car7-oven2.png,car7,oven2
car8-dog1.png,car8,dog1
car8-chair1.png,car8,chair1
car8-boat3.png,car8,boat3
car3-bird2.png,car3,bird2
car8-knife2.png,car8,knife2
car5-cat1.png,car5,cat1
car4-cat3.png,car4,cat3
car5-bear3.png,car5,bear3
car5-knife2.png,car5,knife2
car8-bear1.png,car8,bear1
car10-dog1.png,car10,dog1
car4-bicycle3.png,car4,bicycle3
car2-car3.png,car2,car3
car8-clock2.png,car8,clock2
car1-oven3.png,car1,oven3
car10-chair1.png,car10,chair1
car3-truck1.png,car3,truck1
car3-boat1.png,car3,boat1
car10-car1.png,car10,car1
car3-airplane3.png,car3,airplane3
car5-bottle1.png,car5,bottle1
car7-airplane2.png,car7,airplane2
car8-bicycle2.png,car8,bicycle2
car4-boat1.png,car4,boat1
car2-bird3.png,car2,bird3
car10-elephant2.png,car10,elephant2
car6-bottle1.png,car6,bottle1
car4-car2.png,car4,car2
car3-elephant3.png,car3,elephant3
car1-keyboard2.png,car1,keyboard2
car4-bear3.png,car4,bear3
car5-keyboard3.png,car5,keyboard3
car10-bottle3.png,car10,bottle3
car7-elephant3.png,car7,elephant3
car9-truck3.png,car9,truck3
car2-chair1.png,car2,chair1
car9-bird1.png,car9,bird1
car3-bottle3.png,car3,bottle3
car4-elephant3.png,car4,elephant3
car2-knife3.png,car2,knife3
car9-bicycle2.png,car9,bicycle2
car7-clock1.png,car7,clock1
car2-cat3.png,car2,cat3
car4-bird1.png,car4,bird1
car9-cat1.png,car9,cat1
car8-cat1.png,car8,cat1
car7-bear1.png,car7,bear1
car9-clock2.png,car9,clock2
car4-clock1.png,car4,clock1
car4-bottle1.png,car4,bottle1
car7-keyboard3.png,car7,keyboard3
car5-oven2.png,car5,oven2
car1-chair3.png,car1,chair3
car7-boat3.png,car7,boat3
car10-keyboard2.png,car10,keyboard2
car1-car2.png,car1,car2
car7-bird3.png,car7,bird3
car1-clock2.png,car1,clock2
car8-airplane3.png,car8,airplane3
car3-oven3.png,car3,oven3
car1-dog2.png,car1,dog2
car6-elephant3.png,car6,elephant3
car9-knife1.png,car9,knife1
car10-bicycle2.png,car10,bicycle2
car6-bear1.png,car6,bear1
car6-boat1.png,car6,boat1
car4-oven2.png,car4,oven2
car7-dog3.png,car7,dog3
car5-airplane3.png,car5,airplane3
car6-knife1.png,car6,knife1
car5-truck3.png,car5,truck3
car6-chair3.png,car6,chair3
car7-car1.png,car7,car1
car1-airplane1.png,car1,airplane1
car9-keyboard2.png,car9,keyboard2
car6-bicycle3.png,car6,bicycle3
car8-truck3.png,car8,truck3
