file_name,shape,texture
boat1-keyboard3.png,boat1,keyboard3
boat2-bottle2.png,boat2,bottle2
boat7-elephant3.png,boat7,elephant3
boat3-bicycle2.png,boat3,bicycle2
boat4-bicycle3.png,boat4,bicycle3
boat3-chair3.png,boat3,chair3
boat10-truck1.png,boat10,truck1
boat6-clock2.png,boat6,clock2
boat9-airplane2.png,boat9,airplane2
boat6-bear1.png,boat6,bear1
boat3-car3.png,boat3,car3
boat7-bottle1.png,boat7,bottle1
boat10-oven1.png,boat10,oven1
boat5-bicycle3.png,boat5,bicycle3
boat8-dog3.png,boat8,dog3
boat9-dog2.png,boat9,dog2
boat3-clock3.png,boat3,clock3
boat2-keyboard1.png,boat2,keyboard1
boat3-dog3.png,boat3,dog3
boat2-oven3.png,boat2,oven3
boat4-elephant2.png,boat4,elephant2
boat6-knife2.png,boat6,knife2
boat8-truck2.png,boat8,truck2
boat7-boat2.png,boat7,boat2
boat3-cat3.png,boat3,cat3
boat4-bottle2.png,boat4,bottle2
boat8-oven1.png,boat8,oven1
boat1-bird3.png,boat1,bird3
boat9-clock1.png,boat9,clock1
boat1-chair3.png,boat1,chair3
boat9-cat3.png,boat9,cat3
boat4-dog2.png,boat4,dog2
boat9-knife2.png,boat9,knife2
boat7-truck2.png,boat7,truck2
boat4-chair2.png,boat4,chair2
boat3-airplane2.png,boat3,airplane2
boat4-knife2.png,boat4,knife2
boat9-chair2.png,boat9,chair2
boat1-bear1.png,boat1,bear1
boat8-bottle1.png,boat8,bottle1
boat4-car3.png,boat4,car3
boat5-car3.png,boat5,car3
boat6-cat1.png,boat6,cat1
boat4-boat3.png,boat4,boat3
boat8-elephant1.png,boat8,elephant1
boat2-bird1.png,boat2,bird1
boat6-airplane2.png,boat6,airplane2
boat6-bottle2.png,boat6,bottle2
boat9-boat3.png,boat9,boat3
boat2-airplane1.png,boat2,airplane1
boat7-chair1.png,boat7,chair1
boat7-cat3.png,boat7,cat3
boat9-bear3.png,boat9,bear3
boat1-car2.png,boat1,car2
boat10-boat3.png,boat10,boat3
boat2-bear3.png,boat2,bear3
boat5-airplane1.png,boat5,airplane1
boat9-keyboard2.png,boat9,keyboard2
boat10-bear3.png,boat10,bear3
boat4-bird1.png,boat4,bird1
boat1-truck3.png,boat1,truck3
boat7-clock3.png,boat7,clock3
boat10-cat1.png,boat10,cat1
boat9-bird1.png,boat9,bird1
boat5-boat3.png,boat5,boat3
boat6-truck3.png,boat6,truck3
boat5-knife2.png,boat5,knife2
boat6-car1.png,boat6,car1
boat7-oven3.png,boat7,oven3
boat1-elephant3.png,boat1,elephant3
boat3-keyboard2.png,boat3,keyboard2
boat8-knife1.png,boat8,knife1
boat7-keyboard3.png,boat7,keyboard3
boat6-bicycle2.png,boat6,bicycle2
boat1-bicycle2.png,boat1,bicycle2
boat1-oven1.png,boat1,oven1
boat6-elephant2.png,boat6,elephant2
boat8-bird2.png,boat8,bird2
boat5-clock3.png,boat5,clock3
boat6-dog1.png,boat6,dog1
