file_name,shape,texture
keyboard5-knife2.png,keyboard5,knife2
keyboard7-bottle1.png,keyboard7,bottle1
keyboard8-chair2.png,keyboard8,chair2
keyboard10-airplane3.png,keyboard10,airplane3
keyboard1-dog3.png,keyboard1,dog3
keyboard3-bicycle2.png,keyboard3,bicycle2
keyboard5-bicycle1.png,keyboard5,bicycle1
keyboard5-keyboard1.png,keyboard5,keyboard1
keyboard9-airplane3.png,keyboard9,airplane3
keyboard4-oven2.png,keyboard4,oven2
keyboard2-bottle1.png,keyboard2,bottle1
keyboard10-truck1.png,keyboard10,truck1
keyboard6-bear2.png,keyboard6,bear2
keyboard1-car3.png,keyboard1,car3
keyboard6-boat2.png,keyboard6,boat2
keyboard2-bicycle3.png,keyboard2,bicycle3
keyboard3-elephant2.png,keyboard3,elephant2
keyboard9-truck3.png,keyboard9,truck3
keyboard2-clock1.png,keyboard2,clock1
keyboard9-elephant2.png,keyboard9,elephant2
keyboard6-car2.png,keyboard6,car2
keyboard4-truck3.png,keyboard4,truck3
keyboard7-chair3.png,keyboard7,chair3
keyboard1-bear2.png,keyboard1,bear2
keyboard7-car3.png,keyboard7,car3
keyboard7-knife1.png,keyboard7,knife1
keyboard9-bicycle2.png,keyboard9,bicycle2
keyboard1-bird2.png,keyboard1,bird2
keyboard5-oven2.png,keyboard5,oven2
keyboard8-oven1.png,keyboard8,oven1
keyboard7-dog1.png,keyboard7,dog1
keyboard7-clock3.png,keyboard7,clock3
keyboard2-knife1.png,keyboard2,knife1
keyboard4-bottle2.png,keyboard4,bottle2
keyboard7-bear2.png,keyboard7,bear2
keyboard6-dog2.png,keyboard6,dog2
keyboard10-boat2.png,keyboard10,boat2
keyboard8-keyboard2.png,keyboard8,keyboard2
keyboard7-boat2.png,keyboard7,boat2
keyboard1-chair2.png,keyboard1,chair2
keyboard9-bird1.png,keyboard9,bird1
keyboard1-airplane2.png,keyboard1,airplane2
keyboard5-airplane3.png,keyboard5,airplane3
keyboard3-car2.png,keyboard3,car2
keyboard4-clock2.png,keyboard4,clock2
keyboard4-bird1.png,keyboard4,bird1
keyboard9-keyboard2.png,keyboard9,keyboard2
keyboard4-knife2.png,keyboard4,knife2
keyboard9-boat2.png,keyboard9,boat2
keyboard9-chair2.png,keyboard9,chair2
keyboard5-cat1.png,keyboard5,cat1
keyboard1-clock1.png,keyboard1,clock1
keyboard6-bottle2.png,keyboard6,bottle2
keyboard9-bear2.png,keyboard9,bear2
keyboard8-dog3.png,keyboard8,dog3
keyboard7-truck2.png,keyboard7,truck2
keyboard4-cat2.png,keyboard4,cat2
keyboard10-keyboard1.png,keyboard10,keyboard1
keyboard5-bottle1.png,keyboard5,bottle1
keyboard2-elephant1.png,keyboard2,elephant1
keyboard5-dog3.png,keyboard5,dog3
keyboard3-cat1.png,keyboard3,cat1
keyboard6-elephant1.png,keyboard6,elephant1
keyboard8-airplane2.png,keyboard8,airplane2
keyboard5-bird3.png,keyboard5,bird3
keyboard3-boat1.png,keyboard3,boat1
keyboard8-cat3.png,keyboard8,cat3
keyboard9-cat1.png,keyboard9,cat1
keyboard10-car1.png,keyboard10,car1
keyboard4-keyboard2.png,keyboard4,keyboard2
keyboard7-oven2.png,keyboard7,oven2
keyboard3-bird3.png,keyboard3,bird3
keyboard8-truck3.png,keyboard8,truck3
keyboard6-knife2.png,keyboard6,knife2
keyboard10-oven3.png,keyboard10,oven3
keyboard6-chair1.png,keyboard6,chair1
keyboard6-bicycle1.png,keyboard6,bicycle1
keyboard1-elephant3.png,keyboard1,elephant3
keyboard5-bear3.png,keyboard5,bear3
keyboard3-clock3.png,keyboard3,clock3
